TestID;TestName;TestDescription;StepNumber;StepAction;StepCondition;StepData;Resultado;Observaciones
1;Filtrar Propiedades - Propiedades Existentes;Se verifica que las propiedades existentes se filtren correctamente;1;Entrar Propiedades y Objeto;La función recibe las propiedades y el objeto correctamente;"Objeto: {a: 1, b: 2, c: 3, d: 4}, Propiedades: [""a"", ""c""]";Pasó;La función se ejecutó correctamente y devolvió un objeto con las propiedades filtradas.
;2;Ejecutar la función;La función es ejecutada con éxito y retorna un objeto con las propiedades filtradas;Calculado: {a: 1, c: 3};;;;
2;Filtrar Propiedades - Todas las Propiedades;Se verifica que todas las propiedades se mantengan si se solicitan;1;Entrar Propiedades y Objeto;La función recibe las propiedades y el objeto correctamente;"Objeto: {x: 10, y: 20, z: 30}, Propiedades: [""x"", ""y"", ""z""]";Pasó;La función se ejecutó correctamente y devolvió el mismo objeto de entrada.
;2;Ejecutar la función;La función es ejecutada con éxito y retorna el mismo objeto de entrada;Calculado: {x: 10, y: 20, z: 30};;;;
3;Filtrar Propiedades - Lista Vacía de Propiedades;Se verifica que si la lista de propiedades es vacía, el objeto resultante también es vacío;1;Entrar Propiedades y Objeto;La función recibe las propiedades y el objeto correctamente;Objeto: {a: 1, b: 2, c: 3}, Propiedades: [];Pasó;La función se ejecutó correctamente y devolvió un objeto vacío.
;2;Ejecutar la función;La función es ejecutada con éxito y retorna un objeto vacío;Calculado: {};;;;
4;Filtrar Propiedades - Propiedades Inexistentes;Se verifica que si las propiedades no existen, el objeto resultante es vacío;1;Entrar Propiedades y Objeto;La función recibe las propiedades y el objeto correctamente;"Objeto: {a: 1, b: 2, c: 3}, Propiedades: [""x"", ""y""]";Pasó;La función se ejecutó correctamente y devolvió un objeto vacío.
;2;Ejecutar la función;La función es ejecutada con éxito y retorna un objeto vacío;Calculado: {};;;;
5;Filtrar Propiedades - Objeto Vacío de Entrada;Se verifica que si el objeto de entrada está vacío, el objeto resultante también es vacío;1;Entrar Propiedades y Objeto;La función recibe las propiedades y el objeto correctamente;"Objeto: {}, Propiedades: [""x"", ""y""]";Pasó;La función se ejecutó correctamente y devolvió un objeto vacío.
;2;Ejecutar la función;La función es ejecutada con éxito y retorna un objeto vacío;Calculado: {};;;;
6;Filtrar Propiedades - Objeto Nulo de Entrada;Se verifica que si el objeto de entrada es nulo, el objeto resultante también es nulo;1;Entrar Propiedades y Objeto;La función recibe las propiedades y el objeto correctamente;"Objeto: null, Propiedades: [""x"", ""y""]";Pasó;La función se ejecutó correctamente y devolvió nulo.
;2;Ejecutar la función;La función es ejecutada con éxito y retorna nulo;Calculado: null;;;;
7;Filtrar Propiedades - Propiedades Duplicadas;Se verifica que las propiedades duplicadas no causen problemas;1;Entrar Propiedades y Objeto;La función recibe las propiedades y el objeto correctamente;"Objeto: {a: 1, b: 2, c: 3, a: 4}, Propiedades: [""a"", ""c""]";Pasó;La función se ejecutó correctamente y devolvió un objeto con las propiedades filtradas.
;2;Ejecutar la función;La función es ejecutada con éxito y retorna un objeto con las propiedades filtradas;Calculado: {a: 1, c: 3};;;;
8;Filtrar Propiedades - Tipos de Datos Mixtos;Se verifica que la función maneje diferentes tipos de datos en las propiedades;1;Entrar Propiedades y Objeto;La función recibe las propiedades y el objeto correctamente;"Objeto: {a: 1, b: ""dos"", c: true, d: 4}, Propiedades: [""a"", ""c""]";Pasó;La función se ejecutó correctamente y devolvió un objeto con las propiedades filtradas.
